year,month,sub_status,previous_month_revenue,previous_month_orders,cumulative_revenue_until_last_month,end_of_month_subscriber_count,total_spend,avg_spend
2018,2,Non-Subscriber,,,0,2088,27.2,27.2
2018,2,Subscriber,,,0,2088,51.92,51.92
2018,3,Non-Subscriber,39.5,2,39.5,2090,2279.62,73.536129032
2018,3,Subscriber,18.933333333,1,18.933333333,2090,2939.42,244.951666667
2018,4,Non-Subscriber,1196.433333337,40,1235.933333337,2105,4007.83,48.87597561
2018,4,Subscriber,195.966666666,4,214.899999999,2105,6819.55,262.290384615
2018,5,Non-Subscriber,2199.209999996,111,3435.143333333,2113,5381.31,54.356666667
2018,5,Subscriber,765.975,22,980.874999999,2113,4649.45,221.402380952
2018,6,Non-Subscriber,3045.301666664,104,6480.444999997,2127,6791.06,57.551355932
2018,6,Subscriber,1016.166666668,30,1997.041666667,2127,11208.09,260.653255814
2018,7,Non-Subscriber,4894.90166666,180,11375.346666657,2155,6032.02,50.266833333
2018,7,Subscriber,1607.475000003,45,3604.51666667,2155,19111.76,329.513103448
2018,8,Non-Subscriber,6198.391666668,195,17573.738333325,2177,6488.42,69.025744681
2018,8,Subscriber,2711.266666665,74,6315.783333335,2177,22846.2,321.777464789
2018,9,Non-Subscriber,7331.648333341,200,24905.386666666,2226,12129.01,123.765408163
2018,9,Subscriber,3150.816666661,85,9466.599999996,2226,20764.05,305.353676471
2018,10,Non-Subscriber,6558.968333339,188,31464.355000005,2274,16314.6,130.5168
2018,10,Subscriber,5402.458333319,139,14869.058333315,2274,17396.01,214.765555556
2018,11,Non-Subscriber,12862.149999997,244,44326.505000002,2329,10367.73,76.798
2018,11,Subscriber,7538.499999984,206,22407.558333299,2329,40242.98,341.04220339
2018,12,Non-Subscriber,13040.099999992,292,57366.604999994,2383,19703.53,114.555406977
2018,12,Subscriber,9416.874999975,245,31824.433333274,2383,40729.07,320.701338583
2019,1,Non-Subscriber,16222.441666658,330,0,2481,12239.55,59.415291262
2019,1,Subscriber,11882.941666652,308,0,2481,51328.42,353.989103448
2019,2,Non-Subscriber,15704.539999997,426,15704.539999997,2569,12694.73,72.541314286
2019,2,Subscriber,15574.43333331,407,15574.43333331,2569,44862.05,345.092692308
2019,3,Non-Subscriber,13527.203333332,338,29231.743333329,2648,31974.34,150.822358491
2019,3,Subscriber,18046.623333319,441,33621.056666629,2648,59025.21,373.577278481
2019,4,Non-Subscriber,20640.825000018,426,49872.568333347,2756,13952.33,75.012526882
2019,4,Subscriber,21757.27499998,533,55378.331666609,2756,53813.38,389.952028986
2019,5,Non-Subscriber,15865.943333352,368,65738.511666699,2878,21364.16,68.695048232
2019,5,Subscriber,25544.491666623,618,80922.823333232,2878,76518.39,340.081733333
2019,6,Non-Subscriber,24212.05833336,529,89950.570000059,2985,15507.01,59.187061069
2019,6,Subscriber,32102.549999945,791,113025.373333177,2985,63075.84,306.193398058
2019,7,Non-Subscriber,28413.795000032,527,118364.365000091,3138,25091.67,74.677589286
2019,7,Subscriber,33063.991666588,810,146089.364999765,3138,91991.18,363.601501976
2019,8,Non-Subscriber,25949.880000043,619,144314.245000134,3237,17240.14,60.491719298
2019,8,Subscriber,43150.641666583,1006,189240.006666348,3237,82375.41,376.143424658
2019,9,Non-Subscriber,23894.73500002,584,168208.980000154,3328,20823.21,69.876543624
2019,9,Subscriber,43847.999999915,1053,233088.006666263,3328,88336.09,380.759008621
2019,10,Non-Subscriber,27230.306666693,679,195439.286666847,3438,30148.45,77.902971576
2019,10,Subscriber,48440.859999929,1123,281528.866666192,3438,89196.46,339.150038023
2019,11,Non-Subscriber,36808.710000032,791,232247.996666879,3519,22894.96,75.811125828
2019,11,Subscriber,55319.85833326,1307,336848.724999452,3519,76624.86,328.862060086
2019,12,Non-Subscriber,28587.123333368,705,260835.120000247,3602,24628.32,52.178644068
2019,12,Subscriber,54680.84999994,1271,391529.574999392,3602,82626.21,357.689220779
2020,1,Non-Subscriber,35995.171666725,961,0,3695,30696.58,48.189293564
2020,1,Subscriber,61696.046666598,1411,0,3695,97780.23,362.149
2020,2,Non-Subscriber,36984.403333406,1125,36984.403333406,3740,27834.69,41.856676692
2020,2,Subscriber,65023.691666592,1490,65023.691666592,3740,78627.5,403.217948718
2020,3,Non-Subscriber,43045.71833342,1158,80030.121666826,3848,38408.6,44.454398148
2020,3,Subscriber,61586.479999943,1406,126610.171666535,3848,92529.6,329.28683274
2020,4,Non-Subscriber,58927.150000064,1546,138957.27166689,3987,41056.87,36.988171171
2020,4,Subscriber,84167.13333326,1792,210777.304999795,3987,134859.5,335.471393035
2020,5,Non-Subscriber,53372.863333479,1696,192330.135000369,4154,41952.95,36.073043852
2020,5,Subscriber,74907.683333283,1634,285684.988333078,4154,126889.4,323.69744898
2020,6,Non-Subscriber,54123.340000164,1849,246453.475000533,4276,35905.91,56.455833333
2020,6,Subscriber,79337.349999948,1810,365022.338333026,4276,104744.68,364.964041812
2020,7,Non-Subscriber,49119.714999993,1214,295573.190000526,4447,21093.09,38.351072727
2020,7,Subscriber,86701.484999949,1962,451723.823332975,4447,88326.51,321.187309091
2020,8,Non-Subscriber,41057.818333396,1164,336631.008333922,4588,17995.16,42.044766355
2020,8,Subscriber,96650.729999942,2176,548374.553332917,4588,94863.84,322.666122449
2020,9,Non-Subscriber,31412.306666702,908,368043.315000624,4679,20767.92,59.677931034
2020,9,Subscriber,102134.091666609,2291,650508.644999526,4679,78458.13,307.678941176
2020,10,Non-Subscriber,33378.865000033,839,401422.180000657,4814,30354.54,55.39149635
2020,10,Subscriber,105734.701666579,2401,756243.346666105,4814,97744.84,279.270971429
2020,11,Non-Subscriber,45467.316666703,1126,446889.49666736,5009,51851.7,51.035137795
2020,11,Subscriber,120848.384999926,2676,877091.731666031,5009,152862.62,286.259588015
2020,12,Non-Subscriber,66556.050000084,1745,513445.546667444,5183,43861.2,47.779084967
2020,12,Subscriber,122829.26833327,2701,999920.999999301,5183,153552.84,319.90175
2021,1,Non-Subscriber,67328.066666761,1747,0,5359,62855.93,47.945026697
2021,1,Subscriber,126729.459999927,2799,0,5359,161211.42,294.719232176
2021,2,Non-Subscriber,78878.243333472,2194,78878.243333472,5409,56700.15,58.034953941
2021,2,Subscriber,138040.031666606,3098,138040.031666606,5409,138233.29,304.478612335
2021,3,Non-Subscriber,67473.075000127,1769,146351.318333599,5563,50981.38,54.642422294
2021,3,Subscriber,127982.074999934,2776,266022.10666654,5563,152712.87,332.707777778
2021,4,Non-Subscriber,74432.30500012,1802,220783.623333719,5686,51332.84,58.733226545
2021,4,Subscriber,146235.761666599,3165,412257.868333139,5686,148952.42,365.079460784
2021,5,Non-Subscriber,73613.501666718,1716,294397.125000437,5826,48510.18,67.468956885
2021,5,Subscriber,144049.796666623,3100,556307.664999762,5826,114988.82,333.300927536
2021,6,Non-Subscriber,65635.863333331,1462,360032.988333768,5915,108079.27,158.474002933
2021,6,Subscriber,151044.403333304,3230,707352.068333066,5915,99719.85,315.56914557
2021,7,Non-Subscriber,77578.833333308,1385,437611.821667076,5982,57356.29,77.403900135
2021,7,Subscriber,148131.613333361,3155,855483.681666427,5982,111255.64,339.19402439
2021,8,Non-Subscriber,86227.388333316,1525,523839.210000392,6037,41138.56,63.38761171
2021,8,Subscriber,163266.385000011,3387,1018750.066666438,6037,121119.23,341.180929577
2021,9,Non-Subscriber,67467.219999979,1396,591306.430000371,6150,53428.54,69.477945384
2021,9,Subscriber,151623.943333372,3183,1170374.00999981,6150,161511.49,348.836911447
2021,10,Non-Subscriber,80101.664999999,1587,671408.09500037,6360,55313.42,71.005673941
